Ablactare infantem, por destetar niño
Ablactatio.onis, por aquel destetar
Ablatiuus.i, por el sesto caso de los latinos
Ablegare a se alique, por embiar lo de si
Ablegatio.onis, por aquella embiada o embaxada
Ablegmina.um, lo que sacrificavan del assadura.pr
Abligurire rem, gastar en golosinas la hazienda.ai
Abliguritio.onis, por aquel gasto de hazienda
Abluere rem, por la var alguna cosa.a.i
Ablutio.onis, por aquella lavadura
Abluuinm.ii, por el diluvio.pr
Abmatertera.ae, ermana de la tercer abuela
Abnepos.otis, por el tercero nieto
Abneptis.is, por la tercera nieta
Abnegare quid, por negar lo pedido.a.i.
Abnegatio.onis, por aquella negacion
Abnormis.e, por cosa sin regla
Abnuo.is, por negar sacudiendo la cabeza.n.v
Abnuto.as, por negar assi a menudo.n.v.
Abnutus.us, por aquella manera de negar
Abnutiuus.a.um, por cosa negativa assi
Abolere aliquid, quitar algo de la memoria.a.i
Abolitio.onis, por aquel quitamiento.
Abolescere, por ser quitado de la memoria.ab.
Abolla.ae, por vestidura enforrada y talar
Abominari aliquid, maldezir alguna cosa.d.iii
Abominatus.a.um, ab abominor passiue.
Abominatio.onis, por maldicion o abominacion
Abominabilis.e, por cosa abominable
Abortire, por abortar parir ante de tiempo
Abortio.onis, por aquel parto o mo vedura
Abortus.us, por aquello mesmo.
Abortiuus.a.um, cosa abortada y mal parida.
Aborigines.um, pueblos fueron antiguos de italia
Abpatruus.i, el ermano del tercero abuelo
Abraham, patriarcha fue de los judios
Abrá, esclava de judith.
Abradere quid ab aliquo, raer una cosa de otra
Abrasio.onis, por aquel raimiento
Ab re, por sin causa o sin prouecho
Abrenunciare quid, por resinar lo consinado.a.i
Abripere rem ab alio, por arrebatar.a.i
Abrogare legem, por arogar o quitar lei.
Abrogatio legis, por aquel quitamiento de lei
Abrogare magistratum, por renunciar officio
Abrogatio magistratus, por aquella renunciacion
Abrotanum. uel abrotanus,
Abrumpere quid ab alio, romper algo de otro
Abruptus.a.um, por lugar abarrancado
Abs.praepositio ablatiui, por de.
Absalon, hijo fue de david
Absens.tis.participium ab absun, por ausente.
Absentiae.ae, por el auseacia no presencia
Abscedere a loco, por partir se de algun lugar
Abscessus.us, por aquella partida
Abscedere ulcus, por hazer materia la ulcera
Abscessus.us, por el apostema o ulcera
Abscessem.pro ascessissem dixit Sillius,
Abscindere quid ab aliquo, cortar algo de algo
Abscidere quid ab aliquo, por lo mesmo
Abscidi, praeteritum ab abscindo et abscido
Abscissio.onis, por aquel cortamiento ab abscindo
Abscisio.onis, por aquello mesmo.ab abscido
Abscondere queid ab aliquo, esconder algo de algo
Absconsio.onis, por aquel escondimiento
Absentire ab alio, discordar de otro en sentencia
Absensio.onis, por aquella discordia de sentencia
Absinthiun.ii, por los assensios ierva conocida
Absis.idis, por el auge del circulo en astrologia
Absimilare rem a re, por dessemejar cosa de cosa
Absimilis.e, por cosa dessemejante de otra.
Absisteis ab aliquo, por se apartar de algo.ab
Absolere ul absolescere, por se de sacostumbrar.ab
Absyrtus.i, por un ermano de medea
Absyrtus fluuius est colchorum,
Absoluere opus, por acabar alguna obra
Absolutio operis, por acabamiento de la obra.
Absoluo.is, por desatarlo atado.
Absolutio.onis, por aquel desatamiento
Absonare, por discordar en son
Absonus.a.um, por discordar en son
Absorbere aliquid, por sorver algo del todo
Abstemius.ii, por el aguado que no beve vino
Abstergeo uel abstergo, por alimpiar.a.i.
Abstersio.onis, por aquel alimpiamiento
Absterreo.es, por espantar alguna cosa de otra.a.i
Abstinere manum are, por tener la mano queda
Abstinere filium a peccato, por castigar lo
Abstinere ab alieno, por no tomar lo ageno.ab
Abstinere irarum, por no se ensañar
Abstinentia.ae, por el abstinencia de lo ageno
Abstrahere rem a re, por apartar algo de algo.
Abstractio.onis, por aquel apartamiento.
Abstrudere aliquid, por esconder algo
Abstrusio.onis, por aquel escondimiento.
Absolutorius.a.um, por cosa para absolver
Absorbitio.onis, por la sorvedura.
Absque praepositio ablatiui, por sin
Absumere aliquid, por gastar y destruir.a.i
Absumptio.onis, por aquel gasto perdido
Absum abes.abfui, por se ausentar.n.i
Absurdus.a.um, por cosa discorde en son.
Absurditas.atis, por aquella discordia en son.
Abundus.a.um, por cosa abundante
Abunde. aduerbium, por abundantemente.
Abundanter. aduerbium, por aquello mesmo.
Abundare re aliqua, por abondar y rebossar
Abundantia.ae, por aquel abondamiento
Abuti aliqua re, por mal usar de algo
Abusus.a.um, por cosa mal usada.ab abutor
Abusus.us, por el abusion y mal uso
Abusio.onis, por aquello mesmo
Abusiuus.a.um, por cosa de mal uso
Ac coniunctio pro et ut ego ac tu, por io y tu
Ac coniunctio pro quan.ut aeque ac tu, por como
Academus.i, por un medio dios.aquo en dicta
Academia.ae, un lugar cerca de athenas
Academicus.a.um, por cosa de aquel lugar
Academia.ae, fue tan bien una eredad de tulio
Academia.ae, por qualquier lugar de estudio
Acaeros. interpretatur importunus.,
Acaeria.ae. interpretatur importunitas,
Acaliphe.es.piscis qui latine dicitur urtica,
Acanthus.i, por cardo o alcarchofa
Acanthus.i, arbol es propria de egypto
Acanthinus.a.um, cosa de aquel arbol o cardo
Acanthis.idis, por el sirguerito ave pequeña
Acanthillus.i, por aquella mesma a vezita
Acataliton. interpretatur imcomprehensibile.,
Acapnus.a.um, por cosa sin humo
Acarus.i, por el arador de la mano o de la cera
Acarnania.ae, region es de epiro cerca de etolia
Acarnan.anis, por varon de aquella tierra
Acarnanus.a.um, por cosa de aquella tierra
Acastus.i.n.p, hijo fue de pelias rei de tessalia
Acatalectus.i, verso aque ni sobra ni falta nada
Acatalecticus uersus, verso sin falta y justo
Acatia.ae, medicina cierta de un arbol pegrino
Acatia.ae, contrahaze se de ciruelas silvestres
Acbatana.ae, ciudad de siria notable
Acca laurentia, el ama que crio a romulo y remo.
Accedere, por se allegar.absolutum
Accessio.onis, por la cicion o acrecentamiento
Accessus.us, por el allegamiento
Accesito.as, por se allegar a menudo.n.v.
Accendere aliquid, por encender.ac.i
Accensus.i, por el pregonero del consul
Accensus.i, cierto genero de ombre armado
Accelerare aliquid, por traer algo aina.a.i
Accelerare, por se aquexar para ir o venir.n.v.
Accentus.us, por el accento en la dicion
Accentiuncuia.ae, diminutivo de acento
Accepso.is, por tomar alguna cosa.pr
Acceptabulum.i, el uesso ueco del anca
Acceptabulum.i, el pie del pulpo o semejante
Acceptus.a.um, por cosa aceptable y graciosa
Acceptio personarun, por gratificacion de personas
Accepto.as, por aceptar o recebir.a.i
Acceptum referre, por pagar la deuda
Acceptilatio.onis, por la paga del prestido
Accersio.is, por llamar algo.acti.i
Accerso.is, por aquello mesmo.a.i
Accido.is, por cortar algo de otra cosa.n.ii
Accidit impersonale, por acontecer
Accidens.tis, por acidente o acontecimiento
Accidentia.ae, por aquello mesmo
Accingo.is, por poner haldas en cinta.a.i
Accino.is, por cantar a lo que otro canta.a.i
Accio.is, por llamar.actiuum.i
Accitus.us, por aquel llamamiento
Accipio.is, por tomar recebir oir.a.i
Accipiter humipeta, por el azor o gavilan.
Accipiter sublimipeta, por qualquier halcon
Accipitrarius.ii, por el halconero.
Accipitraria ars, por el acetreria
Accipitrarius.a.um, por cosa de halcones
Accliuis.e, por cosa cuesta arriba
Accliuus.a.um, por aquello mesmo
Acclamo.as, por dar bozes a lo que otro
Acclammatio.onis, por aquel llamamiento
Accliuitas.atis, por la cuesta
Acclinare aliquid alicui, por acostar algo.n.ii.
Accolere locum, por morar cerca de lugar
Accola.ae, morador o moradora cerca de lugar
Accommodare ren rei, por añadir o juntar.a.iii
Accommodus.a.um, por cosa pro vechosa
Accommodo.as, por prestar algo a alguno.a.iii
Accommodatum.i, por el prestido que se torna
Accresco.is, por crecer una cosa sobre otra.n.ii
Accretus.a.um, por cosa crecida.actiue
Accrementum.i, por aquel acrecentamiento
Accretio.onis, por aquello mesmo.
Accubo.as, por se assentar a la mesa.n.v
Accumbo.is.accubui, por aquello mesmo.n.v
Accubatio.onis, por aquel assentamiento.
Accubitus.us, por aquello mesmo
Accuratus.a.um, por cosa diligente y emendada
Accuratio.onis, por aquella diligencia
Accurate. aduerbium, diligentemente
Accumulo.as, por amontonar uno a otro.a.iii
Accurro.is, por correr hazia otra cosa.ab
Accuso.as, por acusar en juizio.a.iiii
Accusator.oris, por aquel acusador
Accusatio.onis, por aquella acusacion
Accusatiuncula.ae, por pequeña acusacion.
Accusatorius.a.um, por cosa para acusar
Acccusatiuo.i, por el cuarto caso de los latinos
Acer.eris, por el azre arbol conocido
Acernus.a.um, por cosa de aquel arbol
Acer acris.acre, por cosa agra aguda fuerte
Aceo es. uel acesco is, por se azedar.n.v
Acerbuys.a.um, por cosa no madura agra
Acerbitas.atis, por aquella asperidad y agror
Acerbitudo.inis, por aquello mesmo
Acero.as, por empajar o mezclar granzas.a.
Aceratum lutum, lodo para hazer adobes
Acerosus.a.um, cosa llena de granzas
Accerra.ae, por la na vezica del encensio
Acerrae.arum, ciudad antigua de campania
Aceruus.i, por monton de cosas menudas
Aceruo.as, por amontonar cosas menudas.a.i
Aceruatim. aduerbium, por a montones
Acesis.is, por una especie de atincar
Acestes, rei de sicilia hijo de crimisso
Acesta.ae, por una ciudad de sicilia
Acetum.i, por el vinagre
Acetarium.ii, por ensalada de iervas
Acetarium.ii, por vinagrera vaso de vinagre
Acetaria.ae, por el azedera ierva conocida
Acetosus.a.um, por cosa azeda
Acetositas.atis, por azedura
Acetarius.a.um, por lo que se come con vinagre
Acetabulum.i, veinte y cinco adaremes de liquido
Achaemenes.ae, fue el primero rei de los persas
Achaemenius.a.um, por cosa de persia
Achemenide.aruz, todos los reies de los persas
Achemenides.ae, compañero fue de ulixes
Achaia.ae, region es de grecia cerca de la morea
Achaicus.a.um, por cosa de aquella region
Achaeus.a.um, por aquello mesmo
Acheius.a.um, por aquello mesmo
Anchiuus.a.um, por aquello mesmo
Achaides.ae, por varon de aquella region.
Achais.idis, por hembra de aquella region
Achaicus.i, por el que vencio aquella region
Achamia.ae. interpretatur animi securitas,
Acharis.is. interpretatur sine gratia,
Achates.ae, por un rio de sicilia
Achates.ae, por cierta piedra que alli hallan
Achates.ae, por un compañero de eneas
Achariston.i, por cierta medicina de teodoto
Achab, rei de judios fue.b.
Achaz, rei fue de los judios.bar
Acheldemach. ager sanguis interpretatur.b,
Acheron.ontis, por un rio del infierno
Acherusus.a.um, por cosa de aquel rio
Acherusius.a.um, por aquello mesmo
Acherusia.ae, por cierta laguna de italia
Acheron.ontis, por un rio de epiro
Acherusius.ii, por aquel mesmo rio
Acherusius.ii, por un rio de italia.
Acherontia.ae, ciudad pequeña de apulia
Achelous.i, rio es de acarnania hijo de oceano
Acheloius.a.um, por cosa de aquel rio
Achelois.idis, por hija de aquel rio
Acheta.ae, por cigarra que canta
Achilles.is, por el hijo de peleo y tetis
Achillaeus.a.um, por cosa de achilles
Achilleius.a.um, por aquello mesmo.
Achilleides.ae, por hijo de achilles
Achilleis.idis, por hija o obra de achilles
Achilleus.i. idem est quod achilles,
Achillas.ae, familiar fue de ptolemeo rei
Achillea.ae, ierva que se llama mil hojas
Achillcum.i, por una especie de esponja marina
Achimarchidae, pueblos son de africa.
Achimelech, sacerdote judio
Achoreus.i, familiar fue de ptolemeo rei
Achos, interpretatur solicitudo
Achor.oris, dios de moscas entre los cirenaicos
Acicula.ae, por el alfilel o aguja pequeña
Acidus.a.um, por cosa azeda.
Acidia.ae, por molestia o enojo
Acidior.aris, por molestar
Acidalius.ii, fuente es en orcomeno
Acidalia.ae, la diosa venus dicha de aquella fuente
Acies.ei, por haz batalla de armados
Acies oculorum, por la vista de los ojos
Acies ferri, por el agudeza o hilo del hierro
Acieris.is, por la segur de cobre
Acinacis.is, cuchillo proprio de los medos
Acinus.i, por el grano del razimo.
Acina.ae, por aquello mesmo
Acinum.i, por aquello mesmo
Acinarius.a.um, por cosa de aquel grano
Acinacius.a.um, por aquello mesmo
Acinacium uinum, por vino de burujo
Acinosus.a.um, por cosa llena de los granos
Acipensis.is, pece que tiene escamas al reves
Acipenser.eris, por aquello mesmo
Acyrologia.ae, interpretatur improprietas
Acis.is, rio de sicilia hijo de fauno y simethis.
Aclis.idis, por garrocha sacaliña
Acmon.i.incus interpretatur,
Acmon.unus cyclops fuit,
Acontion.i, iaculum interpretatur
Acolythus.i, servidor o ministro de otro
Aconitum.i, por el rejalgar
Acontias.ae, especie de cometa como lanza
Acopon.i, unguento para estender nervios
Acopicus.a.um, por cosa de aquel unguento.
Acor.oris, por el agrura o azedura
Acorus.i, por el espadaña ierva de laguna
Acquiesco.is, por descansar.ab
Acquiesco tibi, por consentir contigo
Acra. interpretatur ars arcis,
Acratophorum.i, por vasija para vino.ualent
Acras.adis, por el guadapero arbol silvestre
Acredo.inis, por el agrura
Acredula.ae, por el rui señor ave
Acrementum.i, por el agrura
Acris.e, por cosa agra aguda fuerte
Acrimonia.ae, por aquella agudeza y hemencia.
Acritas.atis, por aquello mesmo.
Acritudo.inis, por aquello mesmo
Acriter. aduerbium, por aguda y fuertemente
Acrisius.ii, hijo de jupiter padre de laerte.
Acrisius.ii, rei fue de los argivos.
Acrisioniades.ae, por hijo o nieto de acrisio
Acrisioneis.idis, por hija o nieta de acrisio
Acrisione.es, por aquello mesmo
Acroama.atis, conseja de escuchar
Acroamaticus.a.um, por cosa de escuchar
Acroceraunia.orum, montes son de epiro
Achrocordon.onis, berruga que duele mucho
Acrothum.i, ciudad fue sobre atho monte
Acroterium.i.  interpretatur promontorium,
Acron.onis, rei de los ceninenses que mato romulo
Acrophya.e, thisica es de la primera especie
Acrocorinthus.i, la fortaleza de corintho.
Acropatos.i, compañero fue de alexandre
Acrota.ae, rei fue de los albanos hijo de tiberino
Acta.ae. interpretatur littus littoris ribera,
Actaeus.a.um, por cosa de la ribera de mar
Actaeon.onis, hijo de aristei y autonoe
Acta.orum, por los hechos de cada dia
Actis.idis, por la region donde esta athenas
Actias.adis, por muger de aquella region
Actito.as, por hazer a menudo lo que queda.a.i
Actio.onis, por la acion del derecho
Actium.ii, por un monte de epiro cabo
Actiacus.a.um, por cosa de aquel monte
Actius.a.um, por aquello mesmo.
Actor.oris, varon fue notable.
Actor.oris, por el representador de fabulas
Actor.oris, por el que demanda en juizio.
Actiuum uerbum, el verbo que significa acion
Actus.us, por la quinta parte de la fabula.
Actuosus.a.um, cosa que haze gestos y visages
Actus.us, por la acion o hecho
Actus.uum, por los hechos privados
Actuaria nauis, nave o barca de passage.
Actuarius, que escrive los actos publicos
Actus quadrato, campo de cxx pies de cada lado
Actus minimus, campo de cuatro en ancho
Actum est, por hecho es en mala parte
Actum ago, por hazer en vano
Actutum. aduerbium, prestamente
Acus.us, por el aguja para coser.
Acus.us, por el aguja paladar pescado
Acus.eris, por las granzas o ahechaduras
Aculeus.i, por el caxquillo de la saeta
Aculeus.i, por el aguijon del abeja
Aculeus.i, por cualquier aguijon o punta.
Aculeatus.a.um, por cosa que tiene aguijon
Acuo.is.acui.acutum, por aguzar.a.
Acutus.a.um, por cosa aguda y aguzada.
Acumen.inis, por el agudeza
Acutela.ae, por el agudeza o astucia
Acupedius.ii, ombre ligero de pies
Acustici, son los dicipulos mientras oien
Acustes.ae, auditor interpretatur
Ad.praepositio accusatiui, por a.o hazia
Ad urben uenire, por venir cerca de la ciudad
Ad forum habito, moro cerca de la plaza
Adam, por nuestro primero padre.bar
Adameius.a.um, por cosa de adam
Adad, lingua syrisca interpretatur sol
Adaequo.as, por igualar una cosa a otra.a.i
Adagium.ii, por el refran o proverbio
Adalligo.as, por atar una cosa a otra.a.i
Adamas.antis, por el diamante piedra
Adamanteus.a.um, por cosa de diamante
Adamantinus.a.um, por aquello mesmo
Adaperio.eris.erui, por abrir.a.i
Adapertilis.e, por lo que se puede abrir y cerrar.
Adasso.is, por empuxar delante.pr
Adarca.ae, por alhurreca de la mar
Adamo.as, por amar como en amorado.a.i
Adasus.i, vestidura sin costura en los ombros.
Adaquo.as, por regar o enaguazar.a.i
Addax.acis, ciervo de cuernos retorcidos
Addenseo.es, por espessar.a.i
Addico.is, por vender en almoneda.a.i
Addictio.onis, por aquella venta
Addisco.is, por deprender.a.i
Addiuino.as, por ade vinar.a.i
Additio.onis, por añadidura
Additamentum.i, por aquello mesmo
Addo.is.addidi, por añadir.a.i
Addubito.as, por dudar.a.i
Addubitatio.onis, por la duda
Adduco.is, por llevar guiando a lugar.a.i
Adductio.onis, por aquel llevar
Adeo domum, por ir a casa y c.
Adeo hereditatem, por acetar la erencia
Adedo.is, por comer hasta el cabo.a.i
Adeo sequenti ut, por en cuanto
Adeo non sequenti ut, por mui mucho
Adelon.i. interpretatur incertum,
Adelphos.i. interpretatur frater,
Ademptus.a.um. participium ab adimo.is,
Adeptus.a.um. participium passiuum ab adipiscor.,
Adeps.ipis, por la enxundia
Adequito.as, por cavalgar a cavallo.ab
Adesus.a.um.participium ab adedo.,
Adfabre. aduerbium, por artificiosamente
Adflecto.is, por doblegar hazia otra cosa.a.i
Adbamo.as, por tomar con anzuelo.a.i
Adhaereo.i.adhaeresco, por allegarse a otro.n.ii
Adhaesito.as, por dudar. abso
Adhaesitatio.onis, por la duda
Adhaesitatio.onis, por allegamiento a otro
Adhaesus.a.um, por cosa dudosa
Adhaese. aduerbium, por dudosamente
Adhibeo.es.adhibui, por añadir.a.iii
Adhinnio.is, por relichar a otro que relicha.n.ii
Adhinnitus.us, por aquei relinchido.
Adbortor.aris, por induzir con razones. d.iii
Adbortatio.onis, por aquel induzimiento
Adhorreo.es, por espeluzarse con miedo.a.i.
Adhuc. aduerbium, por hasta aqui o aun
Adhucusque, por aquello mesmo
Adiaceo.es, por estar acerca de otra cosa.n.ii.
Adiaphoron, interpretatur indifferens
Adiectus.a.um, participium ab adiicio
Adiectiuum nomen, por el nombre añadido
Adigo.is, por empuxaro costreñir.a.i
Adiicio.is, por añadir a otra cosa algo.a.i
Adiicialis coena, por comida sumptuosa
Adimo.is, por quitar algo de otra cosa.a.i
Adipalis.e, por cosa gruessa para comer
Adipatus.a.um, por aquello mesmo
Adipiscor.eris, por alcanzar lo desseado.d.iii
Aditus.us, por la entrada
Aditio hereditatis, la aceptacion de la erencia.
Adytum.i, por el sagrario del templo
Adiudico.as, por dar algo por sentencia.a.i
Adiudicatio.onis, por aquella sentencia
Adiungo.is, por añadir una cosa a otra.a.i
Adiunctio.onis, por aquella añadidura
Adiuuo.as, por aiudar.a.i
Adiuto.as, por aiudar a menudo.a.i
Adiutor.oris, por el aiudador
Adiutrix.icis, por el aiudadora
Adiutorium.ii, por el aiuda
Adiumentum.i, por aquello mesmo
Adiuro.as, por coniurar.a.i.
Adiuratio.onis, por la conjuracion
Adlaboro.as, por trabajar para otro.a.iii
Adlatro.as, por ladrar a otro.n.ii
Administro.as, por aministrar y servir.n.ii
Administratio.onis, por aquella aministracion.
Administrator, por el aministrador y servidor
Administer.tri, por aquello mesmo
Administra.ae, por el aministradora y seruidora.
Admetus.i, por un rei fereo a quien siruio apollo
Adminiculum.i, por el aiuda
Adminiculor.aris, por aiudar.d.ii
Adminiculatus.a.um, participium passiuum.
Admiror.aris, por se maravillar de algo.d.iii.
Admirabilis.e, por cosa maravillosa
Admirabiliter. aduer, por maravillosamente
Admiratio.onis, por aquella maravilla
Admisceo.is, por mezclar una cosa a otra.a.iii
Admistio.onis, por aquella mezcla
Admitto.is, por pecar.a.i.
Admissum.i, por pecado
Admitto.is, por recebir para si.a.iii
Admissio.onis, por aquel recebimiento assi
Admissiuus.a.um, por cosa recebida para si
Admitto.is, por echar garañon o toro.a.i.
Admissura.ae, por el tiempo de echar a garañon.
Admissarius.ii, por el garañon
Admodum. aduerbium, por mucho
Admoneo.es, por traer a la memoria.a.ii.
Admonitio.onis, por aquella recordacion
Admonitus.us, por aquello mesmo.
Admordeo.es, por morder.a.i
Admoueo.es, por arrimar una cosa a otra.a.i
Admotio.onis, por aquel arrimadura
Admugio.is, por bramar a cosa que brama.n.iii
Admurmuro.as, por murmurar a otro.n.iii
Admurmuratio.onis, por aquella murmuracion
Adno.as, por nadar hazia otra cosa.n.ii
Adnato.as, por aquello mesmo.n.ii
Adoleo.es.adoleui, por encender.a.i
Adolesco.is, por crecer.n.v
Adolescens.tis, por mozo mientras crece.
Adolescentulus.i, por aquel mozo pequeño
Adolescentula.ae, por mozuela mientras crece
Adolescentia.ae, por aquella edad de mocedad
Adonai, uno de los diez nombres de dios
Adoperio.is.adoperui, por cubrir
Adopto.as, por adoptar o ahijar
Adoptio.onis, por aquella adoptacion
Adoptiuus.a.uum, por cosa adoptada y ahijada
Adonis.is. uel idis, hijo fue de cinara y mirra
Ador.adoris, por la escandia especie de miesse
Adoreum.i, por aquello mesmo
Adoreus.a.um, por cosa de escandia
Adorea.ae, por la gloria.pr
Adoro.as, por adorar y hazer reverencia.a.i
Adoratio.onis, por el adoracion
Adordior.iris, por ordir y comenzar.d.iii
Adorior.iris, por acometer en mala parte.d.iii
Adorsus.a.um, participium ab adorior
Adorno.as, por afeitar y componer.a.i
Adornatio.onis, por aquel afeitamiento
Adprimus.a.um, por cosa principal
Adprime. aduerbium, por principalmente
Adprobus.a.um, por cosa buena y aprovada.
Adprobe. aduerbiuz, por aprovadamente y bien
Adposco.is, demandar sobre lo demandado.a.inj
Adramin.inis.n.p.berois cuiusdem,
Adrapidus.a.um, por cosa rezia y ligera
Adrapide. aduerbium, por rezia y ligeramente
Adrastus.i, rei de los argiuos hijo de talaon
Adrepo.is, por ir gateando a otra cosa.n.ii
Adria.ae, por una ciudad de venecia
Adria.ae.masculinum, por el mar de venecia
Adriensis.e, por cosa de aquella ciudad o mar.
Adriacus.a.um, por cosa de aquel mar
Adriaticus.a.um, por aquello mesmo
Adrianus.a.um, por cosa de aquella ciudad o mar
Adriane galline, gallinas que ponen mucho
Adsignisco.as, por significar mucho.a.i
Adsimilis.e, por cosa mui semeiante a otro
Adsimilo.as, assemejar una cosa a otra.a.iii
Adsum.ades.adfui, por estar acerca de algo
Aduenio.is, por venira algun lugar.n.v
Aduentus.us, por la venida o avenimiento
Aduenticius.a.um, cosa que viene de lexos
Aduena.ae, por advenedizo o estrangero
Aduentorius.a.um, lo que denuncia venir alguno
Aduento.as, por se allegar viniendo.n.v
Adueneror.aris, por acatar y onrar.d.iii
Aduerbium.ii, por el adverbio parte de la oracion
Aduerto.is, por bolver algo hazia otra cosa.a.i
Aduersus.a.um, por buelto a algun lugar
Aduersor.aris, por contrariar a alguno.d.iii
Aduersatio.onis, por aquella contrariedad
Aduersus. aduersum.praepositio, por contra
Aduersarius.a.um, por cosa contraria
Aduebo.is, por traer en alguna cosa.a.i
Aduectu.onis, por aquella traedura
Aduecticius.a.um, por cosa traida de lexos
Aduespasco.is, por anochecer.caret preterito.n.v
Aduigilo.as, por velar para hazer algo.n.v.
Adulor.aris, por lisongearo mover la cola.d.ii
Adulo.as, por aquello mesmo.pr
Adulator.oris, por lisongero
Adulatio.onis, por la lisonja
Adulatorius.a.um, por cosa para lisongear
Adulter.eri, el que se junta con agena muger
Adultera.ae, la que se junta con varon ageno
Adulterium.ii, por aquel pecado de adulterio
Adulterinus.a.um, por cosa de adulterio
Adulterina clauis, por llave falsada
Adultera clauis, por aquello mesmo
Adultero.as, por adulterar muger agena.a.i.
Adultero.as, por contrabazer y falsar.a.i
Adulterator.oris, por el mesmo adultero
Adulterio.onis, por aquello mesmo
Adultus.a.um, por cosa crecida
